campaign_id,campaign_name,channel,region,start_date,end_date,impressions,clicks,spend_idr,conversions,revenue_idr
CMP0248,Cashback 50%,Instagram,Yogyakarta,3/28/2022,4/4/2022,84713,3605,2486875,442,27270938
CMP0249,Ramadan Deals,In-App Banner,Medan,6/13/2022,6/25/2022,175015,22541,15591916,8066,533588678
CMP0250,Coffee Festival,TikTok,Bandung,9/4/2023,9/25/2023,129419,13856,26781458,3164,124393611
CMP0251,Free Delivery,Email,Surabaya,7/17/2023,7/28/2023,118446,16158,16405565,2494,64244127
CMP0252,Cashback 50%,TikTok,Jakarta,6/13/2022,6/25/2022,175004,15610,7561211,2316,156094427
CMP0253,Buy 1 Get 1,Email,Surabaya,10/9/2023,10/23/2023,184958,21248,16719380,6589,364219742
CMP0254,New Store Opening,Google Ads,Medan,8/12/2024,8/23/2024,69408,7652,26791174,1097,62749179
CMP0255,Buy 1 Get 1,Shopee Ads,Bandung,11/13/2023,11/22/2023,12293,149,19093305,45,3929757
CMP0256,Coffee Festival,In-App Banner,Bandung,5/1/2023,5/8/2023,173169,25201,3125100,8212,720964712
CMP0257,New Store Opening,Shopee Ads,Bandung,2/14/2022,3/5/2022,128244,9173,5416842,501,47332618
CMP0258,Valentine Promo,Shopee Ads,Surabaya,9/11/2023,10/1/2023,129058,8857,11046733,494,39678043
CMP0259,Flash Sale,Shopee Ads,Jakarta,2/26/2024,3/8/2024,181142,3429,24849750,1293,44590549
CMP0260,Coffee Festival,In-App Banner,Yogyakarta,11/7/2022,11/22/2022,89934,2632,13791941,323,16989897
CMP0261,Ramadan Deals,Email,Medan,12/23/2024,12/31/2024,87861,8645,5178753,2816,145856220
CMP0262,End Year Treat,In-App Banner,Yogyakarta,3/4/2024,3/12/2024,123184,6298,17114868,985,21912624
CMP0263,Free Delivery,Shopee Ads,Jakarta,8/26/2024,9/12/2024,97486,4987,21323839,682,44259864
CMP0264,End Year Treat,Email,Medan,3/21/2022,4/6/2022,160622,7681,16298616,2969,217632511
CMP0265,Flash Sale,Shopee Ads,Jakarta,10/9/2023,10/26/2023,124929,7823,13751441,1781,126911264
CMP0266,Buy 1 Get 1,TikTok,Bandung,8/29/2022,9/8/2022,145928,8572,14704391,2091,55664399
CMP0267,Cashback 50%,Shopee Ads,Surabaya,3/27/2023,4/16/2023,166029,2810,17536171,558,52668898
CMP0268,New Store Opening,In-App Banner,Yogyakarta,1/9/2023,1/30/2023,17630,1368,9551084,103,9127437
CMP0269,Free Delivery,Shopee Ads,Surabaya,9/4/2023,9/22/2023,176616,7337,2223185,1508,72935356
CMP0270,Coffee Festival,In-App Banner,Yogyakarta,6/27/2022,7/18/2022,131512,14284,27915000,3496,300643732
CMP0271,Valentine Promo,Email,Medan,1/16/2023,1/30/2023,67571,3302,3990727,575,18876306
CMP0272,Loyalty Points Boost,In-App Banner,Medan,5/16/2022,5/24/2022,73429,9716,29001789,897,73358749
CMP0273,Ramadan Deals,TikTok,Medan,7/15/2024,7/29/2024,112360,4432,16389422,1636,161966693
CMP0274,Buy 1 Get 1,Google Ads,Surabaya,11/11/2024,11/25/2024,174536,9310,10996674,2834,207360121
CMP0275,Ramadan Deals,Google Ads,Medan,2/26/2024,3/12/2024,114334,3398,11513475,684,44445592
CMP0276,Coffee Festival,Instagram,Surabaya,1/16/2023,1/24/2023,26884,435,4998556,156,11588920
CMP0277,Free Delivery,Email,Bandung,5/9/2022,5/28/2022,108260,3603,26075231,720,61589776
CMP0278,New Store Opening,Google Ads,Yogyakarta,2/7/2022,2/25/2022,23027,1266,23999488,191,12012420
CMP0279,Free Delivery,Google Ads,Medan,2/7/2022,2/23/2022,151551,10738,24794256,1503,58153189
CMP0280,Flash Sale,Instagram,Medan,3/13/2023,3/27/2023,139923,10434,22631340,1140,36774422
CMP0281,Loyalty Points Boost,Instagram,Surabaya,11/20/2023,12/4/2023,47922,844,19062260,51,3945815
CMP0282,Cashback 50%,Instagram,Yogyakarta,5/27/2024,6/4/2024,20140,517,23786184,161,10166876
CMP0283,Loyalty Points Boost,Instagram,Bandung,2/21/2022,3/6/2022,11491,1538,6132400,588,39393662
CMP0284,Buy 1 Get 1,TikTok,Yogyakarta,11/13/2023,11/27/2023,146835,10435,3050578,3727,248438423
CMP0285,New Store Opening,TikTok,Yogyakarta,10/9/2023,10/20/2023,13141,1470,17817818,573,40625264
CMP0286,Coffee Festival,Google Ads,Medan,12/16/2024,12/25/2024,65207,3087,5541372,1002,31202866
CMP0287,Flash Sale,In-App Banner,Jakarta,4/11/2022,4/21/2022,76834,6671,28392832,1468,112403354
CMP0288,Free Delivery,Instagram,Jakarta,8/29/2022,9/19/2022,139415,20042,8899893,4726,258272427
CMP0289,Flash Sale,Email,Surabaya,7/15/2024,8/1/2024,140899,2022,8835784,554,35491159
CMP0290,End Year Treat,Instagram,Bandung,3/28/2022,4/12/2022,193039,4830,5533715,1325,78965701
CMP0291,End Year Treat,Google Ads,Bandung,8/29/2022,9/11/2022,172558,8403,29282525,1621,123040514
CMP0292,End Year Treat,TikTok,Surabaya,8/8/2022,8/25/2022,28749,1013,15174952,364,8075201
CMP0293,Buy 1 Get 1,Email,Jakarta,4/10/2023,5/1/2023,125190,6904,7177848,1557,89750154
CMP0294,Valentine Promo,Email,Medan,12/30/2024,1/13/2025,147620,7233,13482540,710,63372223
CMP0295,Coffee Festival,Email,Surabaya,11/21/2022,11/29/2022,195286,3175,17258059,930,27051737
CMP0296,Ramadan Deals,Email,Yogyakarta,7/10/2023,7/25/2023,116770,7740,25115566,1718,109108174
CMP0297,Loyalty Points Boost,Instagram,Jakarta,10/23/2023,11/9/2023,136547,3116,12501026,1060,64248023
CMP0298,Coffee Festival,Instagram,Yogyakarta,5/30/2022,6/14/2022,15935,675,24425201,97,1957813
CMP0299,Ramadan Deals,TikTok,Jakarta,11/14/2022,11/27/2022,174062,8245,2063880,1740,143678496
CMP0300,New Store Opening,Email,Surabaya,1/23/2023,2/10/2023,90828,6462,23073040,1854,165418196
